column,variable_type,variable_subtype,description,classification,transformation,status
1_status,qualitative,ordinal,,,,
2_duration,quantitative,continuous,,,,
3_credit_history,qualitative,ordinal,,,,
4_purpose,qualitative,nominal,,,,
5_amount,quantitative,continuous,,,,
6_savings,qualitative,ordinal,,,,
7_employment_duration,qualitative,ordinal,,,,
8_installment_rate,qualitative,ordinal,,,,
9_personal_status_sex,qualitative,nominal,,,,
10_other_debtors,qualitative,nominal,,,,
11_present_residence,qualitative,ordinal,,,,
12_property,qualitative,ordinal,,,,
13_age,quantitative,continuous,,,,
14_other_installment_plans,qualitative,nominal,,,,
15_housing,qualitative,nominal,,,,
16_number_credits,qualitative,ordinal,,,,
17_job,qualitative,ordinal,,,,
18_people_liable,qualitative,ordinal,,,,
19_telephone,qualitative,nominal,,,,
20_foreign_worker,qualitative,nominal,,,,
21_TARGET,qualitative,nominal,,,,
